measurement_number,response_time_ms
1,263.256115
2,187.203534
3,179.975646
4,188.953846
5,180.577196
6,176.246428
7,172.925438
8,174.092079
9,175.672536
10,175.893446
11,177.76724
12,176.963078
13,178.093123
14,175.921244
15,172.191537
16,170.724364
17,176.899802
18,172.094317
19,171.751461
20,172.50848
21,172.51302
22,175.559392
23,173.229949
24,172.926415
25,180.533335
26,173.881296
27,176.736161
28,177.195512
29,174.886603
30,171.800072
